address,city,hrsFri,hrsMon,hrsSat,hrsSun,hrsThu,hrsTue,hrsWed,inventoryStatus,isEligibleForDelivery,isEligibleForPickup,isEligibleForShipToHome,isSellable,latitude,longitude,phoneNumber,productQTY,state,storeNumber,storeServiceBitmap,storeType,zipCode
"108 S Washington Street","Autaugaville",0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0,False,False,False,False,32.431075,-86.654939,3343102660,0,"AL",15660,1081410,1,36003-2565
"620 County Rd. 79","Jones",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.46802,-86.8826,3342675141,0,"AL",15704,1081442,1,36749-2545
"694 Golson Road","Prattville",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.473812,-86.521768,3343101048,0,"AL",15346,32866,1,36067-8440
"1986 County Road 57","Prattville",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.5736,-86.5514,3343655944,0,"AL",17887,32866,1,36067
"3362 Highway 82 W","Billingsley",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.6289,-86.739,2052870888,0,"AL",18637,1081442,1,36006-3623
"20 Freedom Lane","Hayneville",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,32.26911,-86.72537,3347218766,0,"AL",21971,32802,1,36040
"1014 Highway 14 W","Prattville",0700:2300,0700:2300,0700:2300,0700:2300,0700:2300,0700:2300,0700:2300,0,False,False,False,False,32.4378,-86.4749,3345680516,0,"AL",5726,1081442,1,36067-4702
"109 N Memorial Dr","Prattville",0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0700:2200,0,False,False,False,False,32.465285,-86.452893,3343101757,0,"AL",3232,32866,1,36067-3336
"428 E Main St","Prattville",0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0800:2200,0,False,False,False,False,32.459,-86.4634,3345680510,0,"AL",21115,32866,1,36067-3410
"1455 Martin Luther King Dr","Prattville",0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0,False,False,False,False,32.5118,-86.4567,3343102687,0,"AL",20939,32866,1,36067
"4260 Al Highway 22","Valley Grande",0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0,False,False,False,False,32.4654,-87.0054,3343758940,0,"AL",9980,32866,1,36703-0535
"6510 Old Selma Rd","Montgomery",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.351558,-86.452744,3345308683,0,"AL",14169,1081442,1,36108-9318
"601 Mcqueen Smith Rd-N","Prattville",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.458686,-86.417013,3343108351,0,"AL",9570,1083490,1,36066-7512
"2007 Hwy 31 North","Deatsville",0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0700:2100,0,False,False,False,False,32.583668,-86.464954,3344523434,0,"AL",13369,1082464,1,36022
"4691 U.S. Hwy 80e","Selma",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.3548,-86.971,3343758270,0,"AL",16827,32770,1,36701-8198
"701 Roosevelt St","Selma",0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0800:2100,0,False,False,False,False,32.371214,-87.008138,3343754970,0,"AL",11295,32770,1,36701-7984
